2015,16539,13670,28153,48144,81001,150287
2014,16437,13224,27000,45005,77114,146947
2013,16009,13000,26800,44566,75608,144852
2013,16108,13200,26359,44003,75000,140001
2012,15872,12500,25000,43216,73000,134883
2011,15583,11957,24483,41772,71382,133501
2010,15265,11700,24497,40714,70000,126055
2009,14730,12785,25116,41943,70006,125000
2008,14595,13000,26057,42425,70302,127366
2007,14551,12522,25860,43000,70600,125288
2006,14354,12000,25000,40150,67200,122489
2005,14002,11604,23042,39610,64010,117200
2004,13809,11000,22999,37087,62579,111724
2003,13629,10936,22580,37880,61500,108247
2002,13465,11000,22052,36000,60162,108656
2001,13315,11100,22800,37000,60115,102642
2000,13174,11726,22991,37294,59000,105373
1999,12838,10668,21747,36000,59020,107000
1998,12579,9160,19125,32016,53208,94390
1997,12474,9260,19000,31300,51117,87200
1996,12109,8790,17720,30000,49502,85000
1995,11577,8400,16900,28689,46296,79831
1994,11655,7553,15796,26821,45744,80766
1993,11281,7160,14570,25000,42000,75557
1992,11269,6550,13768,24290,40290,70392
1991,11083,6550,13964,24459,40087,68646
1990,10671,6456,13732,24000,39100,69265
1989,10486,6306,13280,23015,38000,65600
1988,10561,5941,12000,21196,36069,61650
1987,10192,5614,11600,20000,33469,58501
1986,9922,5258,11249,19500,32301,55202
1985,9797,5484,11000,18576,30727,52000
1984,9480,5208,10180,17125,28193,49080
1983,9243,4800,9360,16000,26790,45410
1982,8916,4640,9215,15565,25080,40520
1981,8961,4500,8560,14372,24060,39550
1980,8847,4190,8170,13500,22084,37000
1979,8586,4000,7708,12634,20900,33800
1978,8066,3704,7088,12000,18969,31500
1977,7977,3488,6400,10484,16964,28104
1976,7776,3312,6000,10000,16000,25780
1975,7489,3013,5600,9421,14740,23360
1974,7263,2920,5460,8700,13500,21756
1973,7040,2767,5012,8060,12755,20573
1972,6809,2456,4612,7375,11800,18800
1971,6578,2292,4329,7000,10840,17400
1970,6180,2132,4283,6792,10504,17048
1969,6053,2059,4034,6359,9684,15612
1968,5870,1980,3719,5815,9000,14400
1967,5728,1777,3300,5250,8080,13470
