2015,16667,20000,35000,55920,90008,167641
2014,16239,19000,34000,53000,85000,149748
2013,16088,17369,31201,50000,83760,159731
2013,15811,17800,32016,50000,81000,144040
2012,15589,16800,30400,49000,79000,144000
2011,14939,17000,30294,47125,76557,141869
2010,14435,16013,30000,47602,76020,137628
2009,13298,17000,30000,48000,76040,136757
2008,13425,17000,30050,47000,76000,137568
2007,13339,17500,30288,48000,75000,130100
2006,12973,17000,30000,46040,73220,130600
2005,12519,16100,29000,44080,68993,123417
2004,12178,15562,27000,42000,66000,118282
2003,11693,15132,27000,40218,65000,114052
2002,11339,15108,26840,40700,64100,112636
2001,10499,15212,27000,40764,64450,112758
2000,10034,15000,26830,40400,62134,107000
1999,9579,14008,24652,37466,60000,100309
1998,9060,12000,22500,34944,55000,97998
1997,8590,11226,21000,33000,51396,93114
1996,8225,11000,19800,31000,49560,86000
1995,7939,10000,18060,28900,46300,80300
1994,7735,9723,18100,29030,46462,82250
1993,7362,9960,18000,28080,44308,76500
1992,7153,9600,17800,27803,43720,74150
1991,6379,9620,18000,28060,43730,75000
1990,6220,9584,17500,27235,42000,72210
1989,5933,9372,17502,27280,42644,71000
1988,5910,8216,15800,25020,38856,66150
1987,5642,7849,15000,23595,37188,63336
1986,5418,7800,14359,23000,36000,59615
1985,5213,7300,13500,21709,33400,55700
1984,4883,7000,13256,21450,32172,52943
1983,4666,6500,12458,19468,29679,48903
1982,4085,6500,12000,18680,28500,46300
1981,3980,6780,12015,18600,27726,44284
1980,3906,6087,10850,16700,25324,40550
1979,3684,6000,10540,16000,23400,38255
1978,3291,5342,9700,14300,21060,32850
1977,3304,5000,8603,12642,18913,29922
1976,3081,4225,7653,11600,17200,26103
1975,2948,4047,7060,10640,15600,24264
1974,2897,4220,7124,10580,15175,24000
1973,2722,4000,6720,9865,14117,21500
1972,2655,3667,6205,8900,12440,19700
