2015,84445,25874,49243,79516,125158,225041
2014,84228,24490,46904,75043,121733,220524
2013,84432,24032,47156,74693,119038,217041
2013,83641,24294,45520,72211,114748,210000
2012,83792,24000,44722,70734,112402,202512
2011,83573,23537,43157,69040,110065,200000
2010,83314,22600,42357,68016,107112,193118
2009,83158,23360,42734,67258,106130,189300
2008,82884,23367,43414,69068,107000,191999
2007,82765,23075,43002,68051,106406,189198
2006,82675,22928,41502,65300,102714,184338
2005,82003,21576,40000,62675,98781,177100
2004,81628,20424,38222,60335,94196,165900
2003,81148,20008,37500,59455,92722,163731
2002,81166,20000,37000,58060,89810,157588
2001,80818,19890,36216,57155,88704,159373
2000,80527,19800,36000,56156,86648,153230
1999,79819,19120,35000,54400,83530,150300
1998,78577,18511,34000,52074,79898,140250
1997,77936,17520,32100,50016,76109,133540
1996,77240,16750,30510,47541,72000,125244
1995,76932,16313,29964,45300,69089,120008
1994,77004,15200,28000,43040,66106,115453
1993,75697,14865,27150,41800,63700,109500
1992,75107,14500,26590,40790,61024,103200
1991,75625,14280,26000,39700,59800,100000
1990,75035,14275,25710,38676,58022,99156
1989,74495,13754,25000,37704,56242,95625
1988,74067,13000,23831,35776,53039,89216
1987,73120,12300,22582,34200,50625,83900
1986,72067,11736,21372,32306,48162,80246
1985,71540,11140,20279,30680,45623,75100
1984,70586,10692,19344,29070,43200,71226
1983,69648,10080,18121,27146,40246,66516
1982,69214,9520,17243,25816,38120,62200
1981,68996,9023,16200,24580,35684,57170
1980,68106,8383,15161,22744,32750,52316
1979,67203,7714,14050,21000,30043,48707
1978,64836,7000,12750,19050,27200,43547
1977,63721,6300,11725,17306,24967,39604
1976,62365,5992,10901,16106,22960,36050
1975,61533,5476,10031,14966,21187,33243
1974,60164,5276,9746,14016,20000,31600
1973,59276,4796,9052,13141,18720,30000
1972,58004,4486,8360,12098,17150,27472
